source,target,relationship
function:func_zenodo_doi_release,track:track_data_packaging_standards,implements_track
function:func_historical_mbs_pbs_bundles,track:track_live_source_ingestion,implements_track
function:func_osf_manifest_reconciliation,track:track_research_protocols_osf,implements_track
function:func_osf_registration_drift_check,track:track_research_protocols_osf,implements_track
function:func_osf_cli_contract,track:track_research_protocols_osf,implements_track
function:func_pbs_api_acquisition_evidence,track:track_live_source_ingestion,implements_track
dataset:ds_us_cms_mcd_downloads,jurisdiction:united_states,in_jurisdiction
dataset:ds_us_cms_mcd_downloads,domain:coverage,covers_domain
dataset:ds_us_hospital_price_transparency,jurisdiction:united_states,in_jurisdiction
dataset:ds_us_hospital_price_transparency,domain:hospital_prices,covers_domain
dataset:ds_us_transparency_in_coverage,jurisdiction:united_states,in_jurisdiction
dataset:ds_us_transparency_in_coverage,domain:payer_prices,covers_domain
dataset:ds_us_open_payments,jurisdiction:united_states,in_jurisdiction
dataset:ds_us_open_payments,domain:industry_payments,covers_domain
dataset:ds_oecd_health_statistics,jurisdiction:oecd,in_jurisdiction
dataset:ds_oecd_health_statistics,domain:context,covers_domain
dataset:ds_who_ghed,jurisdiction:global,in_jurisdiction
dataset:ds_who_ghed,domain:context,covers_domain
dataset:ds_world_bank_wdi_health,jurisdiction:global,in_jurisdiction
dataset:ds_world_bank_wdi_health,domain:context,covers_domain
dataset:ds_brazil_sigtap,jurisdiction:brazil,in_jurisdiction
dataset:ds_brazil_sigtap,domain:services_medicines_devices,covers_domain
dataset:ds_chile_fonasa_arancel,jurisdiction:chile,in_jurisdiction
dataset:ds_chile_fonasa_arancel,domain:services,covers_domain
dataset:ds_colombia_cups,jurisdiction:colombia,in_jurisdiction
dataset:ds_colombia_cups,domain:procedure_codes,covers_domain
dataset:ds_korea_hira,jurisdiction:south_korea,in_jurisdiction
dataset:ds_korea_hira,domain:services_claims,covers_domain
dataset:ds_thailand_nhso,jurisdiction:thailand,in_jurisdiction
dataset:ds_thailand_nhso,domain:services_hospital,covers_domain
dataset:ds_singapore_moh_benchmarks,jurisdiction:singapore,in_jurisdiction
dataset:ds_singapore_moh_benchmarks,domain:fees_subsidies,covers_domain
dataset:ds_aihw_health_expenditure,jurisdiction:australia,in_jurisdiction
dataset:ds_aihw_health_expenditure,domain:context,covers_domain
dataset:ds_ihme_gbd,jurisdiction:global,in_jurisdiction
dataset:ds_ihme_gbd,domain:burden_of_disease,covers_domain
mapping_resource:map_omop_athena,domain:multi_domain,maps_domain
mapping_resource:map_fhir_terminology,domain:multi_domain,maps_domain
mapping_resource:map_icd11_api,domain:diagnosis,maps_domain
mapping_resource:map_loinc_download_api,domain:pathology_genomics,maps_domain
mapping_resource:map_rxnav_in_box,domain:medicines,maps_domain
mapping_resource:map_hpo,domain:phenotypes_genomics,maps_domain
mapping_resource:map_who_atc_ddd,domain:medicines,maps_domain
mapping_resource:map_bioportal,domain:multi_domain,maps_domain
mapping_resource:map_gudid,domain:devices,maps_domain
mapping_resource:map_orphanet_mondo,domain:rare_disease,maps_domain
mapping_resource:map_hgnc,domain:genomics,maps_domain
mapping_resource:map_clingen,domain:genomics,maps_domain
research_question:rq_genomics_coverage_price,track:track_policy_demonstrators,belongs_to_track
research_question:rq_genomics_coverage_price,source:au_mbs,requires_source
research_question:rq_genomics_coverage_price,source:us_cms_clfs,requires_source
research_question:rq_genomics_coverage_price,source:us_cms_mcd,requires_source
research_question:rq_genomics_coverage_price,source:uk_genomic_test_directory,requires_source
research_question:rq_cognitive_procedural,track:track_policy_demonstrators,belongs_to_track
research_question:rq_cognitive_procedural,source:au_mbs,requires_source
research_question:rq_cognitive_procedural,source:us_cms_pfs,requires_source
research_question:rq_cognitive_procedural,source:ca_on_ohip,requires_source
research_question:rq_medicine_opacity,track:track_policy_demonstrators,belongs_to_track
research_question:rq_medicine_opacity,source:au_pbs,requires_source
research_question:rq_medicine_opacity,source:us_cms_asp,requires_source
research_question:rq_medicine_opacity,source:nz_pharmac,requires_source
research_question:rq_local_national_coverage,track:track_policy_demonstrators,belongs_to_track
research_question:rq_local_national_coverage,source:us_cms_mcd,requires_source
research_question:rq_local_national_coverage,source:au_mbs,requires_source
research_question:rq_local_national_coverage,source:uk_nhs_payment_scheme,requires_source
research_question:rq_source_transparency,track:track_policy_demonstrators,belongs_to_track
research_question:rq_source_transparency,dataset:source_registry,requires_unresolved_dataset
output:out_hf_dataset,track:track_publication_hf_spaces,publishes_track
output:out_hf_space,track:track_publication_hf_spaces,publishes_track
output:out_osf_protocol_pack,track:track_research_protocols_osf,publishes_track
output:out_osf_reports,track:track_research_protocols_osf,publishes_track
output:out_preprint_methods,track:track_research_protocols_osf,publishes_track
output:out_ro_crate,track:track_data_packaging_standards,publishes_track
output:out_frictionless,track:track_data_packaging_standards,publishes_track
output:out_zenodo,track:track_data_packaging_standards,publishes_track
output:out_api,track:track_policy_demonstrators,publishes_track
output:out_mcp,track:track_policy_demonstrators,publishes_track
output:out_protocol_status,track:track_research_protocols_osf,publishes_track
output:out_evidence_readiness_matrix,track:track_data_quality_evidence,publishes_track
output:out_source_drift_report,track:track_data_quality_evidence,publishes_track
output:out_public_data_dictionary,track:track_data_packaging_standards,publishes_track
output:out_citation_cff,track:track_public_product_citation_dashboard,publishes_track
output:out_public_dashboard,track:track_public_product_citation_dashboard,publishes_track
output:out_public_status_manifest,track:track_public_product_citation_dashboard,publishes_track
output:out_zenodo_release_doi,track:track_data_packaging_standards,publishes_track
